park_no,address,zip,park_class,park_name
151,810 E 103RD ST,60628,REGIONAL PARK,Gately
152,4640 N MELVINA AVE,60630,COMMUNITY PARK,Dunham
153,4233 W 65TH ST,60629,REGIONAL PARK,West Lawn
154,7348 N PAULINA ST,60626,COMMUNITY PARK,Touhy
155,5825 S KOSTNER AVE,60629,REGIONAL PARK,Pasteur
156,11546 S AVENUE L,60617,REGIONAL PARK,Rowan
157,8223 S PRINCETON AVE,60620,COMMUNITY PARK,West Chatham
158,4901 S KILBOURN AVE,60632,COMMUNITY PARK,Archer
159,1516 S KARLOV AVE,60623,MINI-PARK,Crawford
160,3724 W 111TH ST,60655,REGIONAL PARK,Mount Greenwood
161,2460 W 102ND ST,60655,COMMUNITY PARK,Beverly
163,6343 W IRVING PARK RD,60634,COMMUNITY PARK,Merrimac
164,6950 N HIAWATHA AVE,60646,COMMUNITY PARK,Wildwood
165,1139 N PULASKI RD,60651,NEIGHBORHOOD PARK,Linden
166,49 E 95TH ST,60628,COMMUNITY PARK,Abbott
167,2725 W 41ST ST,60632,COMMUNITY PARK,Kelly (Edward)
168,2820 S STATE ST,60616,COMMUNITY PARK,Williams
169,3939 W 79TH ST,60652,REGIONAL PARK,Bogan
170,4620 W 83RD PL,60652,COMMUNITY PARK,Scottsdale
171,3658 S STATE ST,60609,COMMUNITY PARK,Stateway
172,1301 W 14TH ST,60608,COMMUNITY PARK,Addams (Jane)
173,3113 S RHODES AVE,60616,COMMUNITY PARK,Lake Meadows
174,200 E 31ST ST,60616,REGIONAL PARK,Dunbar
175,8441 S KOLIN AVE,60652,COMMUNITY PARK,Durkin
176,361 E 85TH ST,60619,NEIGHBORHOOD PARK,Cole
177,100 W 47TH ST,60609,COMMUNITY PARK,Taylor
178,9912 S PRINCETON AVE,60628,NEIGHBORHOOD PARK,Smith (Wendell)
179,3100 W BRYN MAWR AVE,60659,REGIONAL PARK,Legion
180,3000 W ARGYLE ST,60625,LINEAR PARK,Ronan
181,1342 E 54TH ST,60615,COMMUNITY PARK,Nichols
182,5001 S COTTAGE GROVE AVE,60615,NEIGHBORHOOD PARK,Houston
183,6020 W FOSTER AVE,60630,NEIGHBORHOOD PARK,Austin Foster
184,3770 S WENTWORTH AVE,60609,COMMUNITY PARK,Wentworth Gardens
185,1332 W 117TH ST,60643,NEIGHBORHOOD PARK,Cooper
187,644 E 86TH ST,60619,COMMUNITY PARK,Brown Mem'l
188,1300 W WOLFRAM ST,60657,NEIGHBORHOOD PARK,South Lakeview
189,5656 S ST LOUIS AVE,60629,REGIONAL PARK,Senka
190,5446 S GREENWOOD AVE,60615,NEIGHBORHOOD PARK,Stout
191,900 E 54TH PL,60615,MINI-PARK,Coleman
192,2636 N KIMBALL AVE,60647,NEIGHBORHOOD PARK,Unity
193,6855 S OGLESBY AVE,60649,MINI-PARK,Hasan
194,2914 N LEAVITT ST,60618,MINI-PARK,Wood
195,3111 W FULTON BLVD,60612,NEIGHBORHOOD PARK,Jefferson (Nancy)
196,2440 S LEAVITT ST,60608,MINI-PARK,Baraga
197,3426 W 77TH ST,60652,NEIGHBORHOOD PARK,Dooley
198,4834 N WINTHROP AVE,60640,MINI-PARK,Hickory
199,9247 S EGGLESTON AVE,60620,LINEAR PARK,Robichaux
200,4237 S WABASH AVE,60653,MINI-PARK,Aspen
201,427 E 45TH ST,60653,MINI-PARK,Birch
202,4046 S PRAIRIE AVE,60653,MINI-PARK,Poplar
203,4464 S OAKENWALD AVE,60653,MINI-PARK,Harsh
204,5116 W 44TH ST,60638,COMMUNITY PARK,Le Claire- Hearst
205,7442 N ASHLAND Blvd,60626,PARKWAY PARK,Dubkin
206,5940 S CENTRAL AVE,60638,COMMUNITY PARK,Minuteman
